C++ Benchmark Results
=====================

Size	Type	Algorithm	Time(us)	Comparisons	Swaps
100	random	Bubble	25.0	4935	2566
100	random	Selection	14.0	4950	96
100	random	Insertion	4.0	2658	2566
100	sorted	Bubble	0.0	99	0
100	sorted	Selection	9.0	4950	0
100	sorted	Insertion	0.0	99	0
100	reversed	Bubble	35.0	4950	4950
100	reversed	Selection	10.0	4950	50
100	reversed	Insertion	6.0	4950	4950
500	random	Bubble	513.0	124560	58029
500	random	Selection	374.0	124750	491
500	random	Insertion	47.0	58520	58029
500	sorted	Bubble	0.0	499	0
500	sorted	Selection	331.0	124750	0
500	sorted	Insertion	0.0	499	0
500	reversed	Bubble	1015.0	124750	124750
500	reversed	Selection	347.0	124750	250
500	reversed	Insertion	151.0	124750	124750
1000	random	Bubble	2214.0	497154	243215
1000	random	Selection	1462.0	499500	992
1000	random	Insertion	235.0	244206	243215
1000	sorted	Bubble	1.0	999	0
1000	sorted	Selection	1446.0	499500	0
1000	sorted	Insertion	2.0	999	0
1000	reversed	Bubble	4197.0	499500	499500
1000	reversed	Selection	1350.0	499500	500
1000	reversed	Insertion	992.0	499500	499500
2000	random	Bubble	8597.0	1998810	996329
2000	random	Selection	5516.0	1999000	1991
2000	random	Insertion	1292.0	998320	996329
2000	sorted	Bubble	4.0	1999	0
2000	sorted	Selection	5736.0	1999000	0
2000	sorted	Insertion	3.0	1999	0
2000	reversed	Bubble	14724.0	1999000	1999000
2000	reversed	Selection	5476.0	1999000	1000
2000	reversed	Insertion	3753.0	1999000	1999000
5000	random	Bubble	62349.0	12475972	6256190
5000	random	Selection	34955.0	12497500	4988
5000	random	Insertion	8009.0	6261179	6256190
5000	sorted	Bubble	11.0	4999	0
5000	sorted	Selection	44728.0	12497500	0
5000	sorted	Insertion	10.0	4999	0
5000	reversed	Bubble	103232.0	12497500	12497500
5000	reversed	Selection	35978.0	12497500	2500
5000	reversed	Insertion	19517.0	12497500	12497500
10000	random	Bubble	247653.0	49993404	25118148
10000	random	Selection	156478.0	49995000	9992
10000	random	Insertion	35902.0	25128135	25118148
10000	sorted	Bubble	16.0	9999	0
10000	sorted	Selection	163143.0	49995000	0
10000	sorted	Insertion	19.0	9999	0
10000	reversed	Bubble	418470.0	49995000	49995000
10000	reversed	Selection	149064.0	49995000	5000
10000	reversed	Insertion	100286.0	49995000	49995000
