Java Benchmark Results
======================
Size	Type	Algorithm	Time(us)	Comparisons	Swaps
100	random	Bubble	21.4	4895	2715
100	random	Selection	14.4	4950	95
100	random	Insertion	7.2	2809	2715
100	sorted	Bubble	1.1	99	0
100	sorted	Selection	4.6	4950	0
100	sorted	Insertion	0.9	99	0
100	reversed	Bubble	53.3	4950	4950
100	reversed	Selection	6.3	4950	50
100	reversed	Insertion	4.8	4950	4950
500	random	Bubble	583.1	124659	62154
500	random	Selection	98.2	124750	493
500	random	Insertion	36.6	62647	62154
500	sorted	Bubble	2.3	499	0
500	sorted	Selection	72.1	124750	0
500	sorted	Insertion	1.4	499	0
500	reversed	Bubble	359.8	124750	124750
500	reversed	Selection	105.3	124750	250
500	reversed	Insertion	75.6	124750	124750
1000	random	Bubble	3233.1	498275	244720
1000	random	Selection	340.9	499500	994
1000	random	Insertion	133.1	245712	244720
1000	sorted	Bubble	3.4	999	0
1000	sorted	Selection	272.9	499500	0
1000	sorted	Insertion	1.5	999	0
1000	reversed	Bubble	4307.5	499500	499500
1000	reversed	Selection	371.2	499500	500
1000	reversed	Insertion	583.4	499500	499500
2000	random	Bubble	2193.8	1994905	997922
2000	random	Selection	1207.5	1999000	1992
2000	random	Insertion	529.7	999913	997922
2000	sorted	Bubble	2.6	1999	0
2000	sorted	Selection	1152.9	1999000	0
2000	sorted	Insertion	3.3	1999	0
2000	reversed	Bubble	4133.2	1999000	1999000
2000	reversed	Selection	1451.8	1999000	1000
2000	reversed	Insertion	1101.7	1999000	1999000
5000	random	Bubble	12432.1	12493584	6198874
5000	random	Selection	7116.3	12497500	4991
5000	random	Insertion	3296.9	6203865	6198874
5000	sorted	Bubble	3.2	4999	0
5000	sorted	Selection	6681.7	12497500	0
5000	sorted	Insertion	6.3	4999	0
5000	reversed	Bubble	23452.2	12497500	12497500
5000	reversed	Selection	10327.2	12497500	2500
5000	reversed	Insertion	7911.0	12497500	12497500
10000	random	Bubble	55512.1	49989329	24978015
10000	random	Selection	27669.9	49995000	9986
10000	random	Insertion	13273.6	24988006	24978015
10000	sorted	Bubble	5.7	9999	0
10000	sorted	Selection	28328.8	49995000	0
10000	sorted	Insertion	15.0	9999	0
10000	reversed	Bubble	89785.2	49995000	49995000
10000	reversed	Selection	35779.9	49995000	5000
10000	reversed	Insertion	27899.6	49995000	49995000
