Python Benchmark Results
========================

Size	Type	Algorithm	Time(us)	Comparisons	Swaps
100	random	Bubble	582.5	4814	2368
100	random	Selection	311.2	4950	94
100	random	Insertion	299.5	2464	2368
100	sorted	Bubble	7.7	99	0
100	sorted	Selection	311.5	4950	0
100	sorted	Insertion	9.5	99	0
100	reversed	Bubble	758.3	4950	4950
100	reversed	Selection	320.3	4950	50
100	reversed	Insertion	584.0	4950	4950
500	random	Bubble	27109.1	124659	64171
500	random	Selection	5231.7	124750	490
500	random	Insertion	7272.1	64665	64171
500	sorted	Bubble	27.5	499	0
500	sorted	Selection	4738.7	124750	0
500	sorted	Insertion	34.0	499	0
500	reversed	Bubble	12237.4	124750	124750
500	reversed	Selection	4825.4	124750	250
500	reversed	Insertion	8714.5	124750	124750
1000	random	Bubble	48043.2	499329	241624
1000	random	Selection	19976.8	499500	990
1000	random	Insertion	19790.7	242617	241624
1000	sorted	Bubble	47.2	999	0
1000	sorted	Selection	19750.6	499500	0
1000	sorted	Insertion	76.0	999	0
1000	reversed	Bubble	61788.6	499500	499500
1000	reversed	Selection	20292.3	499500	500
1000	reversed	Insertion	44437.7	499500	499500
2000	random	Bubble	188919.9	1990872	985151
2000	random	Selection	87449.9	1999000	1989
2000	random	Insertion	90851.1	987144	985151
2000	sorted	Bubble	98.8	1999	0
2000	sorted	Selection	85628.8	1999000	0
2000	sorted	Insertion	152.3	1999	0
2000	reversed	Bubble	242558.1	1999000	1999000
2000	reversed	Selection	92690.3	1999000	1000
2000	reversed	Insertion	175220.3	1999000	1999000
5000	random	Bubble	1228383.0	12492450	6290232
5000	random	Selection	573506.5	12497500	4995
5000	random	Insertion	576220.1	6295225	6290232
5000	sorted	Bubble	282.9	4999	0
5000	sorted	Selection	566888.6	12497500	0
5000	sorted	Insertion	442.0	4999	0
5000	reversed	Bubble	1580501.1	12497500	12497500
5000	reversed	Selection	568871.4	12497500	2500
5000	reversed	Insertion	1132931.5	12497500	12497500
10000	random	Bubble	6223331.0	49988559	25076686
10000	random	Selection	2392907.9	49995000	9994
10000	random	Insertion	2393245.4	25086677	25076686
10000	sorted	Bubble	499.3	9999	0
10000	sorted	Selection	2237220.6	49995000	0
10000	sorted	Insertion	1224.3	9999	0
10000	reversed	Bubble	6848359.3	49995000	49995000
10000	reversed	Selection	2324441.4	49995000	5000
10000	reversed	Insertion	4615201.6	49995000	49995000
